"Product attachments","Product attachments"
"My attachments","My attachments"
"Provided attachment information is invalid.","Provided attachment information is invalid."
"Invalid attachment type.","Invalid attachment type."
"Attachment title cannot be empty.","Attachment title cannot be empty."
"There is no attachment with provided ID.","There is no attachment with provided ID."
"Provided attachment is not related to given product.","Provided attachment is not related to given product."
"Cannot delete attachment with id %1","Cannot delete attachment with id %1"
"Sort order must be a positive integer.","Sort order must be a positive integer."
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data."
"Attachment URL must have valid format.","Attachment URL must have valid format."
"There was an error during file content upload.","There was an error during file content upload."
"Product attachments","Product attachments"
"Attachments","Attachments"
"Title","Title"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add attachment","Add attachment"
"File","File"
"Unable to find attachment with id %1","Unable to find attachment with id %1"
"Sorry, there was an error getting requested content.","Sorry, there was an error getting requested content."
"Attachment file not provided","Attachment file not provided"
"Attachment not found.","Attachment not found."
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"File can not be moved from temporary folder to the destination folder.","File can not be moved from temporary folder to the destination folder."
"Default attachment title","Default attachment title"
"Open links in new window","Open links in new window"
"Use content-disposition","Use content-disposition"
"Something went wrong, please contact the store support.","'Something went wrong, please contact the store support."
"Product","Product"
"Title","Title"
"Start download","Start download"
"You have not products' attachments yet.","You have not products' attachments yet."
"Back","Back"
"This products does not contain any attachments.","This products does not contain any attachments."
"Product attachment section","Product attachment section"